,wikidataURI,name
0,Q2263,Tom Hanks
1,Q208408,Tim Allen
2,Q236711,Laurie Metcalf
3,Q253536,Annie Potts
4,Q269890,Don Rickles
5,Q276181,Jim Varney
6,Q311068,Wallace Shawn
7,Q374093,John Ratzenberger
8,Q979189,Erik von Detten
9,Q3048680,John Morris
10,Q76478,Kirsten Dunst
11,Q83338,Robin Williams
12,Q229268,Patricia Clarkson
13,Q232985,Bebe Neuwirth
14,Q271765,Laura Bell Bundy
15,Q272952,Bonnie Hunt
16,Q304701,Bradley Pierce
17,Q349649,Adam Hann-Byrd
18,Q435468,Jonathan Hyde
19,Q562596,David Alan Grier
20,Q2537045,James Handy
21,Q3106605,Gillian Barber
22,Q3758511,Gary Joseph Thorup
23,Q3843854,Malcolm Stewart
24,Q43252,Sophia Loren
25,Q94123,Jack Lemmon
26,Q202172,Walter Matthau
27,Q207596,Daryl Hannah
28,Q232059,Ann-Margret
29,Q343633,Burgess Meredith
30,Q351812,Kevin Pollak
31,Q456082,Ann Morgan Guilbert
32,Q550653,Max Wright
33,Q34389,Whitney Houston
34,Q232120,Angela Bassett
35,Q257271,Loretta Devine
36,Q314819,Donald Faison
37,Q350208,Dennis Haysbert
38,Q367653,Gregory Hines
39,Q450338,Lela Rochon
40,Q727730,Wendell Pierce
41,Q741555,Mykelti Williamson
42,Q1320615,Michael Beach
43,Q1818918,Leon Robinson
44,Q16473,Steve Martin
45,Q102642,Diane Keaton
46,Q234967,Kimberly Williams-Paisley
47,Q312129,Eugene Levy
48,Q313204,Kieran Culkin
49,Q329744,Martin Short
50,Q359207,BD Wong
51,Q436360,Jane Adams
52,Q615200,George Newbern
53,Q3559415,Vince Lozano
54,Q7175871,Peter Michael Goetz
55,Q36949,Robert De Niro
56,Q37876,Natalie Portman
57,Q39982,Bud Cort
58,Q41163,Al Pacino
59,Q162554,Diane Venora
60,Q167520,Jon Voight
61,Q191084,Val Kilmer
62,Q202056,Hank Azaria
63,Q220335,William Fichtner
64,Q223830,Danny Trejo
65,Q228645,Ashley Judd
66,Q232520,Amy Brenneman
67,Q286033,Yvonne Zima
68,Q315083,Jeremy Piven
69,Q318509,Henry Rollins
70,Q349852,Tom Sizemore
71,Q350819,Wes Studi
72,Q361610,Xander Berkeley
73,Q366195,Kevin Gage
74,Q433520,Ted Levine
75,Q541304,Steven Ford
76,Q718338,Martin Ferrero
77,Q743512,Farrah Forke
78,Q1339951,Tom Noonan
79,Q1552233,Tone Lōc
80,Q2151707,Ricky Harris
81,Q2368957,Susan Traylor
82,Q3898080,Paul Herman
