,wikidataURI,name
0,Q23633,HBO
1,Q2060840,Working Title Films
2,Q2450848,StudioCanal
3,Q2702789,Relativity Media
4,Q8073,ARTE
5,Q203453,Westdeutscher Rundfunk
6,Q278637,Bayerischer Rundfunk
7,Q700133,Südwestrundfunk
8,Q110899427,23/5 Filmproduktion
9,Q80452333,Mobra Films
10,Q622668,Village Roadshow Pictures
11,Q1188938,Silver Pictures
12,Q632323,Summit Entertainment
13,Q6047285,Intermedia
14,Q649649,Focus Features
15,Q2245650,Kudos
16,Q182361,Studio 4°C
17,Q564960,Constantin Film
18,Q79202,New Line Cinema
19,Q1148711,Paramount Vantage
20,Q191224,Walt Disney Pictures
21,Q24806916,Mayhem Pictures
22,Q434841,20th Century Studios
23,Q1637250,Walden Media
24,Q2579492,Davis Entertainment
25,Q17305163,Conundrum Entertainment
26,Q497155,Touchstone Pictures
27,Q6952279,NALA Films
28,Q953040,Searchlight Pictures
29,Q4632862,2929 Entertainment
30,Q622848,Castle Rock Entertainment
31,Q1152369,Section Eight Productions
32,Q16253226,Mirage Enterprises
33,Q179200,Metro-Goldwyn-Mayer
34,Q5223268,Dark Horse Entertainment
35,Q11860452,Ghost House Pictures
36,Q465449,Miramax
37,Q951774,The Ladd Company
38,Q2295089,Fox Atomic
39,Q28252,Plan B Entertainment
40,Q2527943,Virtual Studios
41,Q1320443,Sony Pictures Classics
42,Q3521465,The Kennedy/Marshall Company
43,Q10498468,France 3 Cinéma
44,Q28861916,Diaphana Distribution
45,Q80469884,2.4.7. Films
46,Q80470131,Franche Connection Animations
47,Q201275,Norddeutscher Rundfunk
48,Q551580,Q551580
49,Q1131926,Corazón International
50,Q80453700,Dorje Film
51,Q1755165,Twisted Pictures
52,Q7142727,Passion Pictures
53,Q3879177,Millennium Media
54,Q11882864,Millennium Films
55,Q511731,Imagine Entertainment
56,Q3476213,Scott Free Productions
57,Q192557,DreamWorks
58,Q500088,DreamWorks Animation
59,Q533547,Pacific Data Images
60,Q1032540,Canal+
61,Q1322641,France 3
62,Q17343307,Mike Zoss Productions
63,Q267282,RKO Pictures
64,Q126399,Warner Bros.
65,Q65557474,Warner Bros. Pictures
66,Q219400,United Artists Corporation
67,Q3005562,Cruise/Wagner Productions
68,Q1204077,ImageMovers
69,Q2405352,ImageMovers
70,Q168383,Universal Pictures
71,Q80281711,Bioscop
72,Q80282219,AQS
73,Q112742981,IN Film Praha
74,Q908662,Dimension Films
75,Q1047410,Walt Disney Animation Studios
76,Q24992162,Barry Sonnenfeld/Josephson
77,Q1138789,The Weinstein Company
78,Q215932,depth of field
79,Q646968,Ingenious Media
80,Q1155729,Scholastic Corporation
81,Q1431039,Rhythm and Hues Studios
82,Q557387,Original Film
83,Q2326925,Overbrook Entertainment
84,Q2415769,Heyday Films
85,Q466459,Regency Enterprises
86,Q697131,Arnon Milchan
87,Q3041294,RatPac-Dune Entertainment
88,Q4841523,Bagdasarian Productions
89,Q634019,20th Century Animation
90,Q3325728,The ULULU Company
91,Q6407480,Killer Films
92,Q7786448,This is that corporation
93,Q2429494,Television of Catalonia
94,Q3568109,Wild Bunch
95,Q5641909,Telecinco Cinema
96,Q6110408,Rodar y Rodar
97,Q922453,Mr. Mudd
98,Q5368270,Mandate Pictures
99,Q2793276,Participant
100,Q2079232,Saturn Films
101,Q17305144,Jerry Bruckheimer Films
102,Q24991641,Junction Entertainment
103,Q1706678,Brandywine Productions
104,Q618091,Apatow Productions
105,Q7205343,Plum Pictures
106,Q186941,Columbia Pictures
107,Q4713342,Alcon Entertainment
108,Q5610650,Grosvenor Park Productions
109,Q17371413,2S Films
110,Q2820005,Aamir Khan Productions
111,Q7121139,PVR Inox Pictures
112,Q28071521,July August Productions
113,Q112812126,Dulac Productions
114,Q609069,Boll KG
115,Q915718,Brightlight Pictures
116,Q5516982,Gaiam Vivendi Entertainment
117,Q159846,Paramount Pictures
118,Q798768,Bad Robot Productions
119,Q1065717,J.C.Staff
120,Q650867,Madhouse
121,Q17387250,Cube Vision
122,Q17387283,The Story Company
123,Q1321379,Lakeshore Village Entertainment
124,Q515869,Lionsgate
125,Q1584317,Happy Madison Productions
126,Q6535000,Level 1 Entertainment
127,Q17335699,Lawrence Gordon Productions
128,Q5448886,Film4 Productions
129,Q1785329,Nickelodeon Movies
130,Q3881062,Offspring Entertainment
131,Q971446,BBC Film
132,Q17343562,The Donners' Company
133,Q18180861,Mosaic Media Group
134,Q1402636,Picturehouse
135,Q24843224,Gunn Films
136,Q621364,Legendary Pictures
137,Q5063029,Centropolis Entertainment
138,Q1404450,Rogue
139,Q5191357,Crystal Sky Pictures
140,Q885885,Blue Sky Studios
141,Q5058382,Celluloid Dreams
142,Q7127609,Palisades Tartan
143,Q705676,Babelsberg Studio
144,Q4065759,"Kinokompanii︠a︡ ""Andreevskiĭ flag"""
145,Q4403233,STV
146,Q512858,Spyglass Media Group
147,Q17386885,Romero-Grunwald Productions
148,Q7860855,Type A Films
149,Q2924461,DC Comics
150,Q3566350,Warner Premiere
151,Q13416804,Warner Bros. Animation
152,Q2698248,Warner Independent Pictures
153,Q984047,Syncopy Inc.
154,Q467348,American Zoetrope
155,Q7841714,Trigger Street Productions
156,Q3963037,Smokehouse Pictures
157,Q5048582,Casey Silver
158,Q7488442,Shanghai Film Group
159,Q8007810,Huayi Brothers
160,Q10955986,Media Asia Films
161,Q1111024,MTV Films
162,Q7304367,Red Hour Productions
163,Q17335799,Casey Silver Productions
164,Q922857,UK Film Council
165,Q1108255,Film4
166,Q17032103,Thin Man Films
167,Q7797072,Thousand Words
168,Q1607312,Alliance Films
169,Q3875639,Newmarket Films
170,Q367466,Marvel Studios
171,Q252964,TPS Star
172,Q1375196,EuropaCorp
173,Q1881062,M6
174,Q2822030,Absolute Entertainment
175,Q4646764,RadicalMedia
176,Q17386235,Neo Art & Logic
177,Q3866755,Mpower Pictures
178,Q24984710,Mark Johnson
179,Q24984980,Silverbell Films
180,Q242446,Lucasfilm
181,Q662081,HBO Films
182,Q7752106,The Montecito Picture Company
183,Q470851,Amicus Productions
184,Q501070,Channel 4
185,Q2906631,Blinding Edge Pictures
186,Q3547550,UTV Motion Pictures
187,Q127552,Pixar
188,Q1990768,Top Cow Productions
189,Q2892410,Bazelevs Company
190,Q72081,Ealing Studios
191,Q43404,Discovery Channel
192,Q7596772,Stage 6 Films
193,Q1626895,Playtone
194,Q1544011,Pathé
195,Q27962291,Q27962291
196,Q17386194,Friendly Productions
197,Q201487,Nikkatsu
198,Q41468,UFA
199,Q3098606,Gary Sanchez Productions
200,Q2893859,Ten Thirteen Productions
201,Q158478,Lenfilm
202,Q17346544,The Sommers Company
203,Q458301,Courtney Hunt
204,Q3100842,Mediapro
205,Q735670,Production I.G
206,Q813988,Bee Train
207,Q4354972,China Film Group Corporation
208,Q178837,Disney Channel
209,Q116188723,Salty Pictures
210,Q116188737,First Street Films
211,Q708290,Cartoon Network
212,Q1169075,Lucasfilm Animation
213,Q2864822,Arte France Cinéma
214,Q3232642,Les Films d'ici
215,Q16977035,ITVS
216,Q42296932,Razor Film
217,Q80664764,Bridgit Folman Film Gang
218,Q52232930,EFTI
219,Q6056696,Interscope Communications
220,Q17386257,Laurence Mark Productions
221,Q219135,Eon Productions
