,wikidataURI,name
0,Q30,United States of America
1,Q183,Germany
2,Q145,United Kingdom
3,Q38,Italy
4,Q142,France
5,Q29,Spain
6,Q31,Belgium
7,Q148,People's Republic of China
8,Q408,Australia
9,Q258,South Africa
10,Q16,Canada
11,Q17,Japan
12,Q794,Iran
13,Q55,Netherlands
14,Q8646,Hong Kong
15,Q159,Russia
16,Q713750,West Germany
17,Q96,Mexico
18,Q221,North Macedonia
19,Q39,Switzerland
20,Q40,Austria
21,Q27,Republic of Ireland
22,Q865,Taiwan
23,Q664,New Zealand
24,Q36,Poland
25,Q241,Cuba
26,Q347,Liechtenstein
27,Q35,Denmark
28,Q45,Portugal
29,Q189,Iceland
30,Q28,Hungary
31,Q213,Czech Republic
32,Q219,Bulgaria
33,Q36704,Yugoslavia
34,Q838261,Federal Republic of Yugoslavia
35,Q668,India
36,Q34,Sweden
37,Q1041,Senegal
38,Q218,Romania
39,Q928,Philippines
40,Q33946,Czechoslovakia
41,Q15180,Soviet Union
42,Q41304,Weimar Republic
43,Q20,Norway
44,Q32,Luxembourg
45,Q155,Brazil
46,Q1054923,British Hong Kong
47,Q1206012,German Reich
48,Q963,Botswana
49,Q43,Turkey
50,Q414,Argentina
51,Q801,Israel
52,Q822,Lebanon
53,Q403,Serbia
54,Q419,Peru
55,Q917,Bhutan
56,Q869,Thailand
57,Q212,Ukraine
58,Q33,Finland
59,Q79,Egypt
60,Q965,Burkina Faso
61,Q739,Colombia
62,Q215,Slovenia
63,Q225,Bosnia and Herzegovina
64,Q172579,Kingdom of Italy
65,Q948,Tunisia
66,Q83286,Socialist Federal Republic of Yugoslavia
67,Q881,Vietnam
68,Q766,Jamaica
69,Q884,South Korea
70,Q191,Estonia
71,Q211,Latvia
72,Q889,Afghanistan
73,Q233,Malta
74,Q804,Panama
75,Q863,Tajikistan
76,Q736,Ecuador
77,Q298,Chile
78,Q262,Algeria
79,Q711,Mongolia
80,Q796,Iraq
81,Q214,Slovakia
82,Q219060,State of Palestine
83,Q407199,Palestinian territories
84,Q1028,Morocco
85,Q230,Georgia
86,Q778,The Bahamas
87,Q232,Kazakhstan
88,Q37,Lithuania
89,Q878,United Arab Emirates
90,Q252,Indonesia
91,Q235,Monaco
92,Q828,Americas
93,Q2895,Byelorussian Soviet Socialist Republic
94,Q334,Singapore
95,Q810,Jordan
96,Q851,Saudi Arabia
97,Q229,Cyprus
98,Q22502,Taiwan
99,Q974,Democratic Republic of the Congo
100,Q47588,Basque Country
101,Q41,Greece
102,Q717,Venezuela
