,wikidataURI,name
0,Q269214,John Lasseter
1,Q352948,Joe Johnston
2,Q1138881,Howard Deutch
3,Q182763,Forest Whitaker
4,Q376130,Charles Shyer
5,Q270097,Michael Mann
6,Q51522,Sydney Pollack
7,Q713032,Peter Hewitt
8,Q458766,Peter Hyams
9,Q282033,Martin Campbell
10,Q287607,Rob Reiner
11,Q104266,Mel Brooks
12,Q27419,Simon Wells
13,Q179497,Oliver Stone
14,Q318712,Renny Harlin
15,Q41148,Martin Scorsese
16,Q160726,Ang Lee
17,Q3772,Quentin Tarantino
18,Q47284,Robert Rodriguez
19,Q549956,Alexandre Rockwell
20,Q2838329,Allison Anders
21,Q562063,Steve Oedekerk
22,Q332315,Joseph Ruben
23,Q317567,Barry Sonnenfeld
24,Q1702735,Jon Amiel
25,Q262130,Richard Donner
26,Q946039,Victor Salva
27,Q710131,Mike Figgis
28,Q475703,Oliver Parker
29,Q460765,Lesli Linka Glatter
30,Q1354716,Roger Michell
31,Q217324,Jean-Pierre Jeunet
32,Q705489,Marc Caro
33,Q55430,Zhang Yimou
34,Q3182154,John N. Smith
35,Q25078,Terry Gilliam
36,Q185846,Chris Noonan
37,Q95048,Tim Robbins
38,Q527862,Andy Tennant
39,Q442273,Amy Heckerling
40,Q3016485,Darrell Roodt
41,Q1372455,Richard Loncraine
42,Q2638168,Albert Hughes
43,Q13639108,Allen Hughes
44,Q382599,Michael Hoffman
45,Q380608,Paul W. S. Anderson
46,Q25186,Gus Van Sant
47,Q3808611,Jocelyn Moorhouse
48,Q184903,David Fincher
49,Q5386593,Eric Goldberg
50,Q14565302,Mike Gabriel
51,Q273164,Patricia Rozema
52,Q220751,Bryan Singer
53,Q25089,Woody Allen
54,Q558109,Gianni Amelio
55,Q3139384,Holly Goldberg Sloan
56,Q953683,Ulu Grosbard
57,Q41351,Jodie Foster
58,Q470601,Michael Radford
59,Q311319,Frank Oz
60,Q55303,John Schlesinger
61,Q545669,Stephen Herek
62,Q951531,Paris Barclay
63,Q4908103,Bill Bennett
64,Q6162061,Jason Bloom
65,Q5435144,Farhad Mann
66,Q437254,Josiane Balasko
67,Q462078,F. Gary Gray
68,Q23907655,Andrew Sipes
69,Q459349,Noah Baumbach
70,Q295093,Claude Lelouch
71,Q643461,Michael Goldenberg
72,Q107404,Steve Miner
73,Q643982,Christian Duguay
74,Q95668801,Susanne Ofteringer
75,Q44221,Sean Penn
76,Q912217,Brian Gibson
77,Q31637,Jafar Panahi
78,Q1494859,Gary Fleder
79,Q435866,Marleen Gorris
80,Q429963,Tim Reid
81,Q3379021,Philip Haas
82,Q56005,Ridley Scott
83,Q1738629,Ken Kwapis
84,Q441578,Penelope Spheeris
85,Q547485,John Badham
86,Q55258,Stephen Frears
87,Q223992,Wes Craven
88,Q654513,Ted Demme
89,Q55432,John Woo
90,Q55294,Kenneth Branagh
91,Q491766,Mathieu Kassovitz
92,Q612007,Nick Broomfield
93,Q942796,Harold Becker
94,Q223687,Wes Anderson
95,Q936000,Nick Castle
96,Q1699742,John Dahl
97,Q518868,Dennis Dugan
98,Q43203,Clint Eastwood
99,Q77734,Doris Dörrie
100,Q2284236,Brian Henson
101,Q36847247,Robert Leacock
102,Q42229,Mel Gibson
103,Q185783,Stanley Tong
104,Q504627,Barbet Schroeder
105,Q4353908,Jon Blair
106,Q367607,Benjamin Ross
107,Q1351612,Eric Schaeffer
108,Q504461,Andrew Davis
109,Q3110579,Reginald Hudlin
110,Q55431,Wong Kar-wai
111,Q314342,David O. Russell
112,Q933856,Peter MacDonald
113,Q114778349,Michel Negroponte
114,Q2927155,Bryan Gordon
115,Q51582,William Friedkin
116,Q720293,David S. Ward
117,Q225456,Dirk Shafer
118,Q939079,Jon Avnet
119,Q51537,Mike Nichols
120,Q314485,Edward Burns
121,Q59259,Michael Bay
122,Q729375,Christopher Cain
123,Q16019723,Scott Kalvert
124,Q312088,Mike Newell
125,Q446294,Hal Hartley
126,Q103646,Ron Howard
127,Q945041,Michael Caton-Jones
128,Q262608,Abel Ferrara
129,Q295207,Joel Schumacher
130,Q51545,Luis Buñuel
131,Q55277,John Boorman
132,Q214642,Paul Auster
133,Q728360,Wayne Wang
134,Q174908,Michael Moore
135,Q725449,Brad Silberling
136,Q51566,Spike Lee
137,Q549570,Frank Marshall
