,movieId,director
0,1,Q269214
1,2,Q352948
2,3,Q1138881
3,4,Q182763
4,5,Q376130
5,6,Q270097
6,7,Q51522
7,8,Q713032
8,9,Q458766
9,10,Q282033
10,11,Q287607
11,12,Q104266
12,13,Q27419
13,14,Q179497
14,15,Q318712
15,16,Q41148
16,17,Q160726
17,18,Q3772
18,18,Q47284
19,18,Q549956
20,18,Q2838329
21,19,Q562063
22,20,Q332315
23,21,Q317567
24,22,Q1702735
25,23,Q262130
26,24,Q946039
27,25,Q710131
28,26,Q475703
29,27,Q460765
30,28,Q1354716
31,29,Q217324
32,29,Q705489
33,30,Q55430
34,31,Q3182154
35,32,Q25078
36,34,Q185846
37,36,Q95048
38,38,Q527862
39,39,Q442273
40,40,Q3016485
41,41,Q1372455
42,42,Q2638168
43,42,Q13639108
44,43,Q382599
45,44,Q380608
46,45,Q25186
47,46,Q3808611
48,47,Q184903
49,48,Q5386593
50,48,Q14565302
51,49,Q273164
52,50,Q220751
53,52,Q25089
54,53,Q558109
55,54,Q3139384
56,55,Q953683
57,57,Q41351
58,58,Q470601
59,60,Q311319
60,61,Q55303
61,62,Q545669
62,63,Q951531
63,64,Q4908103
64,65,Q6162061
65,66,Q5435144
66,68,Q437254
67,69,Q462078
68,70,Q47284
69,71,Q23907655
70,72,Q459349
71,73,Q295093
72,74,Q643461
73,75,Q107404
74,76,Q643982
75,77,Q95668801
76,78,Q44221
77,79,Q912217
78,80,Q31637
79,81,Q1494859
80,82,Q435866
81,83,Q429963
82,85,Q3379021
83,86,Q56005
84,87,Q1738629
85,88,Q441578
86,89,Q547485
87,92,Q55258
88,93,Q223992
89,94,Q654513
90,95,Q55432
91,96,Q55294
92,97,Q491766
93,99,Q612007
94,100,Q942796
95,101,Q223687
96,102,Q936000
97,103,Q1699742
98,104,Q518868
99,105,Q43203
100,106,Q77734
101,107,Q2284236
102,108,Q36847247
103,110,Q42229
104,111,Q41148
105,112,Q185783
106,113,Q504627
107,116,Q4353908
108,117,Q367607
109,118,Q1351612
110,119,Q504461
111,121,Q3182154
112,122,Q3110579
113,123,Q55431
114,125,Q314342
115,126,Q933856
116,128,Q114778349
117,129,Q2927155
118,132,Q51582
119,135,Q720293
120,137,Q225456
121,140,Q939079
122,141,Q51537
123,144,Q314485
124,145,Q59259
125,146,Q729375
126,147,Q16019723
127,148,Q312088
128,149,Q446294
129,150,Q103646
130,151,Q945041
131,152,Q262608
132,153,Q295207
133,154,Q51545
134,155,Q55277
135,156,Q214642
136,156,Q728360
137,157,Q174908
138,158,Q725449
139,159,Q51566
140,160,Q549570
141,161,Q193648
142,162,Q918283
143,163,Q47284
144,164,Q643246
145,165,Q270639
146,166,Q708899
147,168,Q363666
148,169,Q1268483
149,170,Q387412
150,171,Q5111868
151,172,Q1250139
152,173,Q1164532
153,174,Q3181522
154,175,Q714496
155,176,Q784641
156,177,Q298761
157,178,Q363231
158,179,Q1646013
159,180,Q489831
160,181,Q2927184
161,183,Q2852995
162,184,Q541368
163,185,Q950428
164,186,Q75079
165,187,Q1157704
166,188,Q487408
167,189,Q3343815
168,190,Q446580
169,191,Q309715
170,193,Q129079
171,194,Q214642
172,194,Q728360
173,195,Q316051
174,196,Q707755
175,198,Q34816
176,199,Q312258
177,201,Q270092
178,202,Q231019
179,203,Q335605
180,204,Q1350663
181,205,Q102642
182,206,Q114065725
183,207,Q920072
184,208,Q464903
185,209,Q5264772
186,210,Q350422
187,211,Q710131
188,212,Q2351528
189,213,Q55207
190,214,Q558481
191,215,Q40035
192,216,Q2624537
193,217,Q3121773
194,218,Q711415
195,219,Q130034
196,220,Q1346651
197,222,Q1106742
198,223,Q489831
199,224,Q503907
200,225,Q269692
201,227,Q547485
202,228,Q20880629
203,229,Q51552
204,230,Q545573
205,231,Q888535
206,231,Q1368300
207,232,Q160726
208,233,Q212167
209,234,Q315087
210,235,Q56008
